82.094352  	0.507656 
82.050011  	0.474197 
81.975643  	0.487294 
82.381950  	0.462757 
83.410968  	0.416962 
82.832249  	0.399435 
82.943512  	0.378955 
83.057512  	0.393992 
83.050140  	0.392536 
83.368315  	0.367719 
83.657419  	0.332480 
83.769649  	0.286957 
83.837228  	0.291223 
83.662180  	0.295427 
83.528476  	0.314698 
84.177898  	0.282432 
84.140275  	0.266005 
84.039676  	0.281014 
83.643794  	0.320447 
84.121307  	0.274308 
83.829699  	0.266120 
84.231287  	0.267841 
83.743777  	0.280621 
83.969761  	0.278304 
83.613633  	0.297080 
83.866017  	0.292659 
83.927455  	0.293115 
84.100104  	0.252966 
84.209692  	0.272930 
84.165506  	0.270267 
83.894982  	0.300597 
84.010443  	0.285336 
83.995189  	0.284143 
84.104511  	0.268781 
84.089074  	0.293615 
83.596338  	0.343268 
83.971750  	0.303446 
83.747763  	0.307682 
84.052348  	0.276956 
83.545718  	0.306210 
83.935577  	0.253986 
83.715282  	0.275078 
84.003744  	0.282873 
84.084051  	0.246882 
83.863331  	0.319287 
83.847521  	0.297141 
84.166070  	0.285603 
84.254419  	0.307739 
83.899528  	0.279584 
83.669510  	0.299252 
84.050207  	0.281817 
83.852423  	0.270031 
84.153881  	0.294792 
84.006318  	0.281671 
83.631664  	0.295007 
84.279627  	0.237746 
84.195396  	0.259635 
84.149854  	0.232313 
83.945243  	0.266162 
84.077685  	0.292250 
83.939886  	0.297353 
83.555422  	0.318597 
83.695407  	0.295504 
84.085103  	0.290511 
83.782982  	0.303131 
83.596006  	0.310256 
83.560888  	0.316239 
83.991349  	0.269019 
83.900895  	0.294256 
83.905197  	0.267961 
83.644048  	0.295480 
83.774762  	0.286549 
83.611320  	0.318674 
84.065149  	0.276943 
84.089917  	0.302703 
83.608018  	0.324784 
83.471087  	0.338982 
83.244237  	0.358691 
84.234414  	0.255248 
84.181866  	0.275650 
84.159616  	0.293594 
83.646241  	0.298788 
83.877579  	0.314687 
83.730259  	0.293807 
84.247621  	0.293170 
84.000217  	0.262154 
83.910824  	0.276871 
83.860580  	0.285159 
84.099363  	0.254624 
84.241878  	0.246009 
83.895867  	0.305580 
84.063627  	0.271718 
83.895931  	0.271495 
83.643846  	0.313154 
84.049494  	0.282063 
83.582464  	0.306539 
83.540174  	0.355881 
83.297635  	0.331994 
83.679425  	0.314598 
84.192048  	0.283140 
83.798257  	0.332819 
83.868622  	0.263295 
83.691670  	0.298163 
83.984513  	0.270963 
83.955604  	0.282168 
83.751628  	0.316922 
83.607488  	0.339394 
83.450733  	0.333299 
83.958298  	0.286226 
83.391358  	0.306240 
84.065660  	0.266201 
84.200170  	0.279952 
84.539489  	0.253524 
83.749201  	0.301546 
83.593508  	0.318299 
83.594345  	0.341283 
83.815192  	0.281032 
83.514956  	0.286436 
83.648157  	0.283555 
83.821693  	0.331248 
83.726901  	0.308182 
83.578707  	0.320508 
83.180230  	0.338649 
84.236267  	0.250888 
83.748691  	0.278255 
83.955929  	0.268805 
83.926694  	0.287531 
83.753654  	0.280998 
83.592725  	0.288567 
84.135688  	0.252191 
84.043280  	0.282111 
83.667585  	0.274810 
84.237555  	0.278438 
83.694800  	0.281403 
83.812808  	0.292981 
83.567513  	0.310775 
84.133235  	0.260819 
83.721028  	0.315536 
83.804947  	0.288138 
84.272996  	0.257621 
83.929623  	0.275146 
84.305917  	0.254332 
83.795086  	0.255645 
84.081369  	0.279657 
84.076782  	0.250834 
84.384041  	0.244060 
84.297922  	0.247760 
83.835124  	0.273046 
83.874237  	0.295654 
84.060096  	0.262497 
84.228707  	0.264771 
83.869082  	0.308571 
83.949762  	0.300874 
83.732602  	0.304033 
83.861741  	0.307990 
84.289165  	0.262309 
83.571454  	0.310324 
84.029011  	0.291879 
83.615411  	0.315027 
83.848747  	0.295254 
84.118655  	0.296357 
83.720224  	0.302550 
84.136044  	0.280614 
83.726500  	0.274126 
83.823565  	0.266670 
83.891596  	0.286940 
83.956957  	0.295705 
84.179778  	0.294557 
84.058875  	0.268299 
83.948585  	0.277681 
84.151946  	0.294317 
84.053842  	0.301012 
84.025817  	0.267293 
84.153086  	0.270985 
83.877675  	0.303861 
83.618683  	0.284829 
83.866610  	0.265870 
83.651738  	0.319981 
83.905963  	0.310892 
83.963022  	0.280879 
83.739160  	0.289345 
84.102600  	0.273617 
84.018169  	0.270671 
83.750857  	0.249194 
83.811981  	0.302392 
83.557859  	0.335685 
83.865358  	0.301784 
84.013646  	0.273055 
84.039881  	0.274207 
83.523038  	0.310872 
83.851467  	0.311211 
84.051902  	0.279922 
83.663205  	0.329602 
83.610938  	0.291599 
83.806778  	0.294762 
83.987261  	0.273312 
84.243111  	0.241689 
83.851089  	0.285253 
84.352748  	0.231295 
84.253068  	0.255712 
84.099481  	0.236801 
84.107783  	0.265833 
83.900577  	0.286344 
83.719156  	0.295678 
83.761525  	0.292124 
83.825402  	0.285143 
83.861422  	0.278381 
84.020429  	0.288265 
83.933401  	0.279554 
84.130681  	0.277327 
83.610783  	0.282277 
83.446423  	0.319841 
83.609342  	0.300449 
83.775172  	0.276801 
83.382762  	0.327471 
83.733993  	0.280676 
84.243870  	0.289705 
84.006235  	0.266941 
83.473738  	0.306487 
83.745756  	0.294198 
84.045306  	0.275457 
83.513927  	0.320022 
83.764929  	0.293557 
83.719225  	0.305776 
83.772572  	0.318335 
83.693335  	0.303979 
83.773378  	0.297773 
83.591263  	0.272475 
84.186892  	0.289471 
83.848292  	0.298975 
83.827641  	0.316281 
84.115595  	0.260567 
83.962802  	0.279984 
